,Bicycle_Name,Pricing(in Rs.)
0,"CAYA WARRIOR 26"" Army Green Dual Disc, Triple Alloy Rim...","10,449"
1,Vector 91 Dragoon 26 T Hybrid Cycle/City Bike,"10,499"
2,vesco Drift 24T Bicycle Big Kids Boys & Girls 9 to 15 a...,"5,399"
3,vesco Drift 24T Bicycle Steel Rim Big Kids Boys & Girls...,"5,399"
4,"Lifelong Juniorâ€™s Ride 14T with Back Seat & Support, Ye...","4,299"
5,Adrenex by Flipkart Xplore XP 700 85% Assembled with Du...,"9,999"
6,Adrenex by Flipkart Xplore XP 500 27.5 T Mountain Cycle,"9,999"
7,Vector 91 Xenon 27.5 T Mountain Cycle,"18,699"
8,Lifelong Mybuddy cycle 16T with support for boys and gi...,"4,399"
9,HRX XTRM MTB 1000 29 T Mountain Cycle,"12,999"
10,XCi Brave 29 T Mountain Cycle,"11,699"
11,Vector 91 Dragoon 27.5 T Mountain Cycle,"11,399"
12,Vicky 16T Kids Pink Cycle with Steel Rim 16 T BMX Cycle,"3,699"
13,HRX Predator with Front Suspension and Dual Disc Brakes...,"6,999"
14,WALTX Summit 27.5 T Mountain Cycle,"17,099"
15,LEADER TORFIN 26T MTB Bicycle without Gear Single Speed...,"6,499"
16,CRADIAC HUSTLER 7 SPEED 26 T Hybrid Cycle/City Bike,"8,169"
17,"Urban Terrain Maza 27.5"" Red City Bike with Cycling Eve...","4,799"
18,FIREFOX BIKES Bicycle Ironman 18 T BMX Cycle,"6,199"
19,SYGA Bicycles for Kids 2-5 Years Old Children's 12-inch...,"5,999"
20,"CAYA WARRIOR 26"" Black Dual Disc, Triple Alloy Rims, Fr...","10,449"
21,REVIN Vault pro Alloy 27 Gears 29 T Mountain/Hardtail C...,"17,999"
22,WALTX Trail 27.5 T Mountain Cycle,"15,599"
23,WALTX Trail 26 T Mountain Cycle,"14,499"
24,Adrenex by Flipkart Xplore XP 1000 29 T Mountain Cycle,"11,999"
25,"HRX Predator with Front Suspension & Dual Disc Brakes, ...","7,299"
26,XCi Hangout 27.5 T Mountain Cycle,"11,339"
27,Plutus TANGO 26 T Mountain Cycle,"8,499"
28,Lifelong Chaze by Milind Soman CZBC2701 27.5 T Road Cyc...,"7,299"
29,WALTX Dune 3 26 T Fat Tyre Cycle,"18,699"
30,HRX XTRM 900 27.5 T Mountain Cycle,"12,099"
31,HRX Dart with Bottle Holder and Mudguard 85% Assembled ...,"4,999"
32,HRX Dart 85% Assembled 27.5 T Hybrid Cycle/City Bike,"7,369"
33,HRX Predator with Front Suspension and Dual Disc Brakes...,"6,799"
34,COSMIC TRIUM 27.5 INCH MTB BICYCLE 21 SPEED BLACK-PREMI...,"14,999"
35,SYGA Bicycles for Kids 2-5 Years Old 12-inch Children's...,"4,299"
36,SYGA Bicycles for Kids 2-5 Years Old 14-inch Children's...,"4,999"
37,HRX XTRM CT 500 85% Assembled 26 T Hybrid Cycle/City Bi...,"9,899"
38,SYGA Bicycles for Kids 2-5 Years Old 12-inch Children's...,"4,999"
39,FIREFOX BIKES Bad Attitude Grunge Neo Cycle 26 T Mounta...,"11,099"
